parcel_id,yield_year,window,NDVI_mean,NDVI_median,EVI_mean,EVI_median,NDRE_mean,NDRE_median,NDWI_mean,NDWI_median,SAVI_mean,SAVI_median,CIre_mean,CIre_median,GNDVI_mean,GNDVI_median,MTCI_mean,MTCI_median,n_img
A-1,2016,Enve,0.28474,0.28474,0.217467,0.217467,0.220899,0.220899,-0.402083,-0.402083,0.212545,0.212545,0.434435,0.434435,0.402083,0.402083,1.468543,1.468543,1
A-1,2017,Crec,0.285266,0.285266,0.22463,0.22463,0.220127,0.220127,-0.40246,-0.40246,0.219098,0.219098,0.443016,0.443016,0.40246,0.40246,1.494108,1.494108,1
A-1,2017,Cuaj,0.282695,0.282695,0.227774,0.227774,0.219444,0.219444,-0.396265,-0.396265,0.219666,0.219666,0.450718,0.450718,0.396265,0.396265,1.658788,1.658788,1
A-1,2018,Crec,0.28463,0.28463,0.22616,0.22616,0.208066,0.208066,-0.387977,-0.387977,0.214225,0.214225,0.429413,0.429413,0.387977,0.387977,1.445336,1.445336,1
A-1,2018,Cuaj,0.296098,0.296098,0.2450465,0.2450465,0.22122350000000002,0.22122350000000002,-0.39630750000000003,-0.39630750000000003,0.2293615,0.2293615,0.463909,0.463909,0.39630750000000003,0.39630750000000003,1.7933535,1.7933535,2
A-1,2018,Enve,0.302262,0.302262,0.234321,0.234321,0.219543,0.219543,-0.414338,-0.414338,0.224681,0.224681,0.448982,0.448982,0.414338,0.414338,1.568435,1.568435,1
A-1,2018,Reposo,0.390553,0.390553,0.24893,0.24893,0.295997,0.295997,-0.494791,-0.494791,0.252239,0.252239,0.695259,0.695259,0.494791,0.494791,2.647623,2.647623,1
A-1,2019,Crec,0.2733251428571429,0.280244,0.21260742857142856,0.210619,0.21659414285714287,0.215429,-0.378371,-0.383499,0.20364085714285715,0.207876,0.4381315714285714,0.433225,0.378371,0.383499,1.6001807142857143,1.59967,7
A-1,2019,Cuaj,0.283361,0.283361,0.23827399999999999,0.23827399999999999,0.2186855,0.2186855,-0.38038249999999996,-0.38038249999999996,0.222033,0.222033,0.4663215,0.4663215,0.38038249999999996,0.38038249999999996,1.6718294999999999,1.6718294999999999,2
A-1,2019,Enve,0.28153375,0.285383,0.20878225,0.2093535,0.213837,0.2145665,-0.3930275,-0.40021549999999995,0.2049515,0.2076835,0.43037000000000003,0.425213,0.3930275,0.40021549999999995,1.6723824999999999,1.678674,4
