KDD35,CDD30,TROPN,HI_max,HOT_DAYS,ET0_sum,GDD10,Tmax_mean,Tmin_mean,Tmean_mean,RH_mean,yield_year,window,n_days
0.0,0.0,0,20.54042553191489,0,119.558858629,364.75,20.69787234042553,14.823404255319147,17.135904255106386,79.96542553170212,2016,BROT,47
0.0,0.0,0,22.230434782608697,0,143.668016732,432.80000000000007,22.23478260869565,16.582608695652173,18.705227260869563,79.07760400826086,2016,FLOR,46
0.0,0.0,5,25.202173913043477,0,179.792903665,528.95,24.826086956521745,18.171739130434784,21.012456086956526,75.4874992276087,2016,CUAJ,46
0.0,0.10000000000000142,25,28.362666666666666,0,365.002599737,1005.6,27.50133333333333,19.314666666666668,23.3880700296,73.64948331693333,2016,CREC,75
0.0,0.0,0,25.74186046511627,0,130.99091688,457.95,25.286046511627905,16.013953488372092,20.285874495116282,77.64792280651163,2016,ENVE,43
0.0,0.0,0,19.982978723404255,0,131.20398651899998,337.04999999999995,20.202127659574465,14.140425531914891,16.95495051,76.99802113276596,2017,BROT,47
0.0,0.0,0,22.46521739130435,0,175.705531054,422.45,22.560869565217395,15.80652173913043,18.9762154176087,74.48183339282608,2017,FLOR,46
0.0,0.0,0,25.13695652173913,0,200.82095987399998,456.20000000000005,24.95652173913044,14.878260869565214,19.962199747826087,73.88447782021738,2017,CUAJ,46
0.0,2.6999999999999993,33,29.34324324324324,0,378.98877873900005,1039.05,28.17432432432432,19.90810810810811,23.988619462702708,72.74739340567568,2017,CREC,74
0.0,0.0,1,25.863043478260867,0,152.75402172000003,491.85,25.56521739130436,15.8195652173913,20.34323946978261,75.09953970804347,2017,ENVE,46
0.0,0.0,0,19.082978723404256,0,108.43643439200001,308.29999999999995,19.280851063829786,13.838297872340423,15.89125859,79.7913247538298,2018,BROT,47
0.0,0.0,0,20.83478260869565,0,160.836081434,366.6,21.121739130434783,14.817391304347826,17.471536242608693,76.96318114869567,2018,FLOR,46
0.0,0.0,0,24.08695652173913,0,188.47748027500003,423.2,24.073913043478264,14.326086956521742,19.233605072826087,73.66259057934784,2018,CUAJ,46
0.0,0.0,5,27.283050847457627,0,268.089548941,720.5000000000001,26.984745762711867,17.438983050847458,21.955425824067795,70.6221091762712,2018,CREC,74
0.0,0.0,0,25.082608695652173,0,140.39166220700002,469.90000000000003,24.778260869565216,15.652173913043473,19.919432407608696,76.30245649695652,2018,ENVE,46
0.0,0.0,0,19.317021276595742,0,110.08287760699997,318.3,19.629787234042553,13.914893617021276,16.16824088617021,78.26401458297873,2019,BROT,47
0.0,0.0,0,22.69130434782609,0,152.25560337800005,432.6,22.743478260869562,16.065217391304348,18.86167824173913,76.27693398391304,2019,FLOR,46
0.0,0.0,0,25.621621621621617,0,142.53406779,412.85,25.624324324324323,16.691891891891895,20.823485293783786,72.16531299162162,2019,CUAJ,37
0.0,1.3999999999999986,15,28.1234375,0,281.78088143499997,825.0,27.517187500000002,18.2640625,22.45878673234375,74.02987073765624,2019,CREC,64
0.0,0.0,0,24.634782608695648,0,160.360356319,460.0,24.51739130434782,15.482608695652173,19.79306246130435,76.02386871695653,2019,ENVE,46
0.0,0.0,0,18.076595744680848,0,100.68070255900001,274.3999999999999,18.340425531914892,13.336170212765959,15.464605496170211,81.47539893659572,2020,BROT,47
0.0,0.0,0,21.602173913043483,0,142.604339831,352.99999999999994,21.793478260869566,13.554347826086962,17.03088756630435,78.8273438623913,2020,FLOR,46
0.0,0.0,0,25.721739130434784,0,193.30110444299999,481.85,25.669565217391302,15.280434782608696,19.852694746521742,74.35597826021738,2020,CUAJ,46
0.0,1.7000000000000028,9,27.906666666666666,0,314.97395890800004,906.8,27.361333333333338,16.82,21.10504912813333,75.26797361413334,2020,CREC,75
0.0,0.0,0,25.913043478260875,0,168.59917451600003,494.6499999999999,25.654347826086955,15.85217391304348,19.354393115869566,76.36413043478261,2020,ENVE,46
0.0,0.0,0,20.542553191489365,0,130.074772418,306.25,20.778723404255313,12.253191489361699,15.047532505957445,81.90856973957447,2021,BROT,47
0.0,0.0,0,22.83913043478261,0,154.251424802,383.35,22.917391304347824,13.75,16.86304347826087,79.18749999999999,2021,FLOR,46
0.0,0.0,0,24.42391304347826,0,177.37825768300007,435.79999999999995,24.308695652173913,14.639130434782606,18.275888075434786,76.48438484521739,2021,CUAJ,46
0.0,0.0,0,25.11621621621622,0,308.098102629,741.5500000000001,24.970270270270273,15.07162162162162,18.834009009054054,74.93944623959457,2021,CREC,74
0.0,0.0,0,24.36304347826087,0,159.71409007200006,434.25,24.313043478260866,14.567391304347826,18.141938406086958,76.3867753621739,2021,ENVE,46
0.0,0.0,0,19.523404255319154,0,114.016523061,266.65,19.80851063829787,11.538297872340427,14.22078900702128,82.8373226948936,2022,BROT,47
0.0,0.0,0,21.893478260869564,0,148.239301136,337.8999999999999,22.09347826086957,12.597826086956522,15.950588768478259,78.98188405847826,2022,FLOR,46
0.0,0.0,0,23.971739130434777,0,159.40707550799996,423.5,23.76739130434783,14.645652173913042,17.847916667173916,77.7259963771739,2022,CUAJ,46
0.0,0.0,0,24.812307692307694,0,247.57581877699997,636.25,24.77076923076923,14.806153846153846,18.657500000153846,74.09423076892308,2022,CREC,65
0.0,0.0,0,23.602272727272727,0,143.056892436,364.15,23.54318181818182,13.009090909090908,17.01148042977273,77.08355429272727,2022,ENVE,44
0.0,0.0,0,19.17954545454546,0,107.612497841,223.10000000000002,19.54090909090909,10.6,13.591145833636363,80.85037878795455,2023,BROT,44
0.0,0.0,0,22.10555555555556,0,54.133552582,135.59999999999997,22.08888888888889,12.977777777777776,16.198379629444446,78.69791666666667,2023,FLOR,18
0.0,0.0,0,21.766666666666666,0,27.490209402,66.75,21.955555555555556,12.877777777777778,16.034722223333333,78.47453703888888,2023,CUAJ,9
0.0,2.400000000000002,0,26.652,0,202.452458434,557.5500000000001,26.014,16.288,19.8327083336,76.48499999959999,2023,CREC,50
0.0,0.3999999999999986,1,27.018181818181816,0,168.781208926,503.05,26.450000000000003,16.41590909090909,20.21041666636364,75.20880681863635,2023,ENVE,44
0.0,0.0,0,22.589130434782607,0,125.47787028399999,379.0,22.44347826086957,14.034782608695652,16.702853260434782,82.17663043413043,2024,BROT,46
0.0,0.0,0,24.072499999999998,0,137.581807422,369.5,23.805,14.670000000000002,17.91661458325,79.47786458350001,2024,FLOR,40
0.0,0.0,0,25.264444444444443,0,174.21183172800002,463.05,24.844444444444438,15.735555555555557,19.03189814822222,78.24953703733334,2024,CUAJ,45
0.0,0.5,1,27.838709677419352,0,254.83836897999996,737.3,26.838709677419352,16.94516129032258,20.563474462258064,77.20362903274194,2024,CREC,62
0.0,0.6000000000000014,1,24.619999999999997,0,34.099679868,93.99999999999999,24.32,14.48,18.070235509000003,78.95262681099999,2024,ENVE,10
