parcel_id,yield_year,NDRE_raw_repro,NDRE_corr_repro,CIre_raw_repro,CIre_corr_repro,NDVI_repro,n_scenes
A-1,2017,0.219444,0.3121081459950843,0.450718,0.7620864113049325,0.282695,1
A-1,2018,0.22122350000000002,0.30460843726162123,0.463909,0.7440975795536257,0.296098,2
A-1,2019,0.2186855,0.3108885586999648,0.4663215,0.7761405739963918,0.283361,2
A-1,2020,0.2109674,0.3028684672913595,0.43426860000000006,0.7430729278492666,0.28379719999999997,5
A-1,2022,0.2376075,0.2963959224307542,0.516127,0.7136668089392443,0.3316255,2
A-1,2023,0.251978375,0.2947142440249166,0.569569,0.7131693051787672,0.354812,8
A-1,2024,0.2426665,0.29913840878290165,0.5368055,0.7265614010798194,0.3349715,2
A-2,2017,0.209673,0.3092548400684084,0.419175,0.7537881235976325,0.272703,1
A-2,2018,0.217505,0.3040479698392301,0.4470375,0.7378376443177521,0.2915365,2
A-2,2019,0.20747,0.30980901747503503,0.43614949999999997,0.7800272419628924,0.26872050000000003,2
A-2,2020,0.20630880000000001,0.3027578772900065,0.413052,0.7371384699622774,0.27722800000000003,5
A-2,2022,0.2421325,0.2983119022030398,0.519298,0.7080710256851371,0.33539399999999997,2
A-2,2023,0.25961075,0.29592514765245864,0.5863825,0.7084054915585845,0.36408725,8
A-2,2024,0.24720799999999998,0.3010940813845965,0.529721,0.7107880499575983,0.3387065,2
A-3,2017,0.238398,0.3149123211703813,0.51112,0.7682220578569929,0.306022,1
A-3,2018,0.25597400000000003,0.31000927704840764,0.567963,0.7495313745671935,0.338491,2
A-3,2019,0.256764,0.31690245279934726,0.5627534999999999,0.7648296569147013,0.3296755,2
A-3,2020,0.242118,0.3081346234888548,0.5084256,0.7302534812662994,0.321185,5
A-3,2022,0.25693449999999995,0.3045031315828468,0.562147,0.7219862677647553,0.34783149999999996,2
A-3,2023,0.279736125,0.30142000123487234,0.6421375,0.7149992743322553,0.38521975,8
A-3,2024,0.261487,0.30554174484654206,0.581414,0.7294459682009442,0.35290699999999997,2
A-4,2017,0.218881,0.31290763818246436,0.446232,0.7621786332617012,0.280727,1
A-4,2018,0.2380745,0.3070708828254827,0.5034959999999999,0.735336415464436,0.31688099999999997,2
A-4,2019,0.225959,0.3134137595804799,0.49011899999999997,0.7839829239504068,0.29021949999999996,2
A-4,2020,0.2371128,0.3047181669195457,0.4967144,0.7238807486171088,0.3188902,5
A-4,2022,0.246967,0.30194210588192827,0.528613,0.7133393706578002,0.3371335,2
A-4,2023,0.26593975,0.2995491541120026,0.5954005,0.7083342204900682,0.367994375,8
A-4,2024,0.2454225,0.3030187417667966,0.5268200000000001,0.7203538647270717,0.3333475,2
B-5,2017,0.24033,0.31334116544469875,0.52384,0.769170816443756,0.311082,1
B-5,2018,0.263903,0.3130625904479888,0.593719,0.758904179378909,0.3455335,2
B-5,2019,0.2556795,0.3183258938302337,0.5688139999999999,0.7793172956537231,0.326053,2
B-5,2020,0.24939640000000002,0.3096245086622872,0.5431938,0.7455712169469175,0.329546,5
B-5,2022,0.2698085,0.3025247205585251,0.6180805,0.7280129610378445,0.3692845,2
B-5,2023,0.265358875,0.3001589020486118,0.601119,0.7180534304545769,0.366274625,8
B-5,2024,0.25853499999999996,0.3030307547669492,0.5703265,0.7198403418729269,0.35226999999999997,2
B-6,2017,0.228455,0.31314912055752353,0.477545,0.7621326739236713,0.294207,1
B-6,2018,0.266859,0.31166353094356075,0.604803,0.7553543860765441,0.351824,2
B-6,2019,0.24987700000000002,0.3157240042886982,0.5575535,0.7788114298539984,0.32143,2
B-6,2020,0.255369,0.30957735786489393,0.5662328000000001,0.7483827576409701,0.338241,5
B-6,2022,0.257648,0.30294061884605206,0.593032,0.7452234503445939,0.351119,2
B-6,2023,0.26803475,0.3015688639568311,0.62016425,0.7328449818529754,0.368103125,8
B-6,2024,0.271978,0.30357507999912475,0.6177969999999999,0.7239689448828055,0.370901,2
