date,Tmax,Tmin,RH_mean,VPD_mean,VPD_max
2015-01-01,25.1,18.4,66.17021277,0.8970256598961648,1.4977470082363606
2015-01-02,25.7,20.5,65.64583333,0.981486106764718,1.4530059836997278
2015-01-03,26.1,20.4,65.25,1.0039574236231443,1.5892400515676661
2015-01-04,26.2,19.9,66.27083333,0.9655365847272626,1.5306239742913086
2015-01-05,25.6,19.5,66.85416667,0.9197390803007339,1.5100747380973871
2015-01-06,26.3,19.8,66.22916667,0.9677037216776847,1.642327040571945
2015-01-07,25.0,20.2,65.54166667,0.953662874535532,1.425499972878081
2015-01-08,26.0,20.1,64.9375,1.0017768160029656,1.6134911177292306
2015-01-09,26.3,20.5,62.97916667,1.079741470753062,1.7107573339291093
2015-01-10,26.8,20.8,65.5625,1.0297390910324162,1.797096992333063
2015-01-11,25.8,20.2,68.45833333,0.8972484794635016,1.5280751630402347
2015-01-12,25.3,20.4,67.20833333,0.9217143973666433,1.4834206917271104
2015-01-13,26.1,17.4,67.45833333,0.8735418291695565,1.623053669686127
2015-01-14,26.4,17.0,64.79166667,0.9470118831409693,1.824125610300043
2015-01-15,25.4,16.9,65.27083333,0.8976666226196361,1.5895806966977517
2015-01-16,26.4,16.7,65.27083333,0.9277795715735977,1.824125610300043
2015-01-17,25.7,20.6,61.41666667,1.1051884539530163,1.7502117530928543
2015-01-18,26.0,18.5,63.8125,0.9935670998003923,1.6807199143012819
2015-01-19,25.5,15.5,68.0,0.8039007227911326,1.5664111772757527
2015-01-20,25.4,15.9,67.875,0.8112762958551234,1.5246998519345782
2015-01-21,25.6,18.3,66.95833333,0.8898147688220415,1.608557873190695
2015-01-22,26.1,17.9,64.02083333,0.9772677497041826,1.6906809059230492
2015-01-23,26.4,18.2,63.39583333,1.0124409117565651,1.824125610300043
2015-01-24,27.2,17.7,64.27083333,1.0062699121461975,1.9119158003385222
2015-01-25,26.3,17.0,63.0625,0.9897853798936376,1.7449724806076916
2015-01-26,27.1,17.3,62.0625,1.0548877395941816,1.9366077058295703
2015-01-27,27.7,18.3,60.19565217,1.157838515423064,2.0429218595149883
2015-01-28,27.8,17.6,62.29166667,1.0838848420839813,2.0548742174164634
2015-01-29,26.6,17.6,68.79166667,0.8574753970185014,1.77608667464256
2015-01-30,28.0,19.4,68.875,0.938848487598476,1.9277644856375842
2015-01-31,27.1,18.8,69.16666667,0.8874504586165317,1.6855659661849962
2015-02-01,26.6,18.7,69.75555556,0.8527609943363073,1.60196053006976
2015-02-02,26.8,20.2,66.97916667,0.9726463598128998,1.7266226004768646
2015-02-03,27.3,19.2,68.72916667,0.9152245813047202,1.6328582306972388
2015-02-04,27.7,21.3,67.8125,1.00547447078837,1.7086255552307175
2015-02-05,28.7,20.9,67.20833333,1.0507308400941944,2.125846891592851
2015-02-06,28.1,19.3,71.35416667,0.8652263838846923,1.9009975872112574
2015-02-07,28.0,20.4,70.14893617,0.921911415595956,1.738767967437821
2015-02-08,27.3,19.9,69.97727273,0.8935393527103863,1.6691439691571774
2015-02-09,27.8,21.6,70.66666667,0.926388857691057,1.6812607233407424
2015-02-10,28.0,21.4,71.57446809,0.8994834557873128,1.7765672710777736
2015-02-11,28.7,19.6,71.58333333,0.883439963892326,1.8502741463863699
2015-02-12,27.3,20.5,72.85416667,0.8198333655004006,1.6328582306972388
2015-02-13,27.6,18.4,67.5,0.9440042245823452,1.69867970173446
2015-02-14,28.2,22.4,67.19148936,1.0717317362984318,1.759119128304863
2015-02-15,28.8,22.6,64.5,1.1895682892373869,2.058998567366384
2015-02-16,26.7,20.4,68.47916667,0.9298454966264842,1.576380818175457
2015-02-17,28.4,21.2,66.16666667,1.080397500184949,1.934431858264384
2015-02-18,28.9,22.0,67.10416667,1.0899242172936887,2.031119454487251
2015-02-19,29.1,20.3,61.33333333,1.2394491271440167,2.135308744327352
2015-02-20,28.9,19.2,61.125,1.2065921977023268,2.349726427740153
2015-02-21,29.1,19.2,64.875,1.098331623242971,2.2964641212577184
2015-02-22,27.3,20.6,70.4375,0.8950233352441392,1.4877152768574844
2015-02-23,26.7,19.6,68.20833333,0.9194268039951972,1.5063194484787703
2015-02-24,27.1,20.9,66.125,1.0260874034836704,1.7572921775120174
2015-02-25,27.1,20.6,63.375,1.1011055146174522,1.8648814945025491
2015-02-26,27.7,19.9,58.625,1.249162791821715,2.0429218595149883
2015-02-27,28.9,17.8,59.60416667,1.2160687944938664,2.349726427740153
2015-02-28,27.7,18.9,65.35416667,1.0217273170739698,1.9314897580868982
2015-03-01,27.2,17.9,64.95833333,0.9914050570969273,1.875841917313267
2015-03-02,27.6,18.8,63.79166667,1.0614304188125674,1.9202466193519985
2015-03-03,28.8,18.8,62.625,1.145494689905154,2.177786946252906
2015-03-04,27.3,17.9,66.45833333,0.952519782871591,1.9957156152966253
2015-03-05,26.8,18.2,64.5625,0.9946964976062835,1.902808580117361
2015-03-06,27.2,19.8,64.0,1.0650377793629333,1.875841917313267
2015-03-07,28.2,19.3,65.77083333,1.0376623464035948,2.103294609929728
2015-03-08,27.2,17.2,64.85416667,0.9787787656046796,1.9840635663890325
2015-03-09,27.2,18.2,65.4375,0.9845950891557049,1.8397680342880118
2015-03-10,28.2,17.6,64.95833333,1.0226592520833317,1.9503277292075658
2015-03-11,29.3,18.9,65.20833333,1.0888697551947155,2.2008505711109314
2015-03-12,28.2,19.4,67.4375,0.9894120542187275,1.8738442888464848
2015-03-13,29.2,19.4,63.52083333,1.1500128663018625,2.269236551259469
2015-03-14,28.9,19.3,64.79166667,1.0952335978826548,2.110771197800476
2015-03-15,27.3,19.1,66.9375,0.9653776346624763,1.8505726614568707
2015-03-16,29.9,21.0,61.83333333,1.279688982429056,2.489085153952903
2015-03-17,28.9,20.3,61.79166667,1.2159126755595981,2.1505970694570893
2015-03-18,28.1,20.9,71.41666667,0.8966256124506411,1.786937731978582
2015-03-19,28.4,20.9,71.60416667,0.9002378974411327,1.8570545839338086
2015-03-20,28.3,20.9,72.14583333,0.8799453547453,1.692443003850961
2015-03-21,27.9,21.1,67.29166667,1.0238198738737818,1.7662492421107858
2015-03-22,28.7,19.6,70.5,0.917119493199996,1.9290092164453645
2015-03-23,29.4,22.5,68.95833333,1.0592651754796543,1.9676199139878383
2015-03-24,30.2,22.4,69.85416667,1.0552647605939085,2.231831182091544
2015-03-25,30.7,21.3,73.72916667,0.9128633845063385,2.340707387662882
2015-03-26,29.7,22.9,73.375,0.9269609519309676,1.7933567945593292
2015-03-27,28.0,20.2,70.3125,0.9124925247536879,1.7765672710777736
2015-03-28,26.9,18.2,71.08333333,0.8146641133223511,1.524124968447885
2015-03-29,27.2,16.6,69.0625,0.8502460977914643,1.9119158003385222
2015-03-30,29.4,18.3,65.5,1.0699231837250829,2.4595248924847977
2015-03-31,27.8,16.8,67.625,0.914503202833737,2.0548742174164634
2015-04-01,26.9,16.4,69.47916667,0.8255492892719001,1.843127868820698
2015-04-02,26.9,16.8,67.70833333,0.8812044444912903,1.8076831021126076
2015-04-03,26.7,18.4,65.83333333,0.960005312340775,1.6814728727204877
2015-04-04,26.6,19.3,66.47916667,0.9589272972958274,1.741261445728
2015-04-05,26.6,17.0,62.33333333,1.0208141725834847,1.9153875903008002
2015-04-06,25.7,15.5,66.625,0.8449397268735455,1.6511431632951454
2015-04-07,26.6,17.0,68.45833333,0.8548189476316121,1.70643621681344
2015-04-08,26.8,17.8,67.47916667,0.9043874523625837,1.6913854045487653
2015-04-09,24.4,19.8,73.38888889,0.7139496200538327,1.1919619346765369
2015-04-11,26.4,18.1,66.85294118,0.9146514974060793,1.6176208242283399
2015-04-12,26.2,17.5,70.70833333,0.79107617297724,1.496610108195946
2015-04-13,26.8,18.3,68.8125,0.8774548044217618,1.6561482086206658
2015-04-14,26.2,17.9,70.29166667,0.8099136081913128,1.564637840386671
2015-04-15,26.8,18.3,69.58333333,0.8557675448204176,1.6209110126925665
2015-04-16,27.6,18.1,68.75,0.901528840472428,1.8463909801461522
2015-04-17,26.6,16.4,69.125,0.8255649275202772,1.77608667464256
2015-04-18,26.2,18.9,66.08333333,0.9471413082420841,1.496610108195946
2015-04-19,26.9,21.1,65.75,1.035514401753541,1.843127868820698
2015-04-20,26.6,18.9,67.3125,0.926076873536813,1.60196053006976
2015-04-21,25.1,19.9,69.39583333,0.843227656522312,1.37027917774816
2015-04-22,25.1,19.5,69.27083333,0.8379192082365778,1.4658800506143104
2015-04-23,25.1,19.5,68.3125,0.8640509258234483,1.37027917774816
2015-04-24,24.6,19.9,68.25,0.8599371760683179,1.2681633451042427
2015-04-25,24.5,17.3,67.58333333,0.8184439911808368,1.4143385634055312
2015-04-26,24.8,15.9,69.75,0.7467122276872995,1.4086058486908635
2015-04-27,24.5,15.5,68.5625,0.760107184483702,1.4143385634055312
2015-04-28,24.4,16.4,67.89583333,0.7900159248743606,1.4059038203877101
2015-04-29,25.3,14.9,67.22916667,0.8060356159245725,1.612413795355555
2015-04-30,25.0,14.5,68.79166667,0.7519643036520984,1.5838888587534237
2015-05-01,25.1,15.8,69.45833333,0.7607752092856661,1.4658800506143104
2015-05-02,25.0,19.3,67.625,0.8751991769532452,1.3938221957030126
2015-05-03,24.4,16.4,72.27083333,0.682356389373783,1.2836513142670398
