term,estimate,std_error,t,p_value,ci_low,ci_high
Intercept,59.58103392029657,24.815599901000617,2.400950779267445,0.061548407545047736,-4.20949642563393,123.37156426622707
Tmean_chill_lag1,-3.0209837476646166,1.5503076342056752,-1.9486350199213627,0.10886025355946469,-7.0061763918020326,0.9642088964727993
Tmean_mean_CREC,-0.07091203097635662,0.7499489132382232,-0.09455581536902799,0.9283400535152555,-1.9987170850017275,1.8568930230490142
