spec,excluded,n,beta_chill,se_chill,p_chill,beta_creg,se_creg,p_creg,R2_log,R2_raw,RMSE_raw,MAE_raw
full (n=8),-,8,-0.8164082384616606,0.27173213249425443,0.02994545011640153,0.0887751714021048,0.1314482448255398,0.5294122106876245,0.652649077165874,0.10787324407169796,3.4059514875854195,2.542019348388167
leave_2024 (n=7),2024,7,-0.43341867701769715,0.4275945247997585,0.3680929948282179,-0.03278992072519177,0.16646125404921797,0.8534455032626524,0.396215404725033,0.09116537796831137,2.962653261540209,2.4889025321839364
leave_2016_2024 (n=6),"2016,2024",6,0.32194338175960857,0.3603292401167665,0.4374363530155887,-0.10693471276679589,0.10111634613223863,0.3678867891381933,0.2842191617826466,0.3413342147507059,1.8711369001091114,1.755718814535116
