feature,importance
Tmean_chill_lag1,0.35915383615135804
CH12_lag1,0.2660551937758278
Tmean_mean_CREC,0.21491400594200416
Tmax_mean_FLOR,0.12605761682219632
CP_lag1,0.033819347308613655
