scenario,period,dTw_med,dTw_lo,dTw_hi,dTs_med,dTs_lo,dTs_hi,CP_mean,Tmean_chill,Tmean_CREC,yield_med,yield_param_lo,yield_param_hi,yield_dT_lo,yield_dT_hi,yield_change_pct
SSP1-2.6,2031-2050,0.9,0.5,1.4,0.9,0.5,1.4,0.2863338666084529,17.874149358540194,23.107956454307594,2.9090840376029865,2.146848271378612,8.944408221812125,4.0594439690035875,1.870254541548432,-51.97745245066761
SSP1-2.6,2051-2070,1.0,0.6,1.6,1.0,0.6,1.6,0.14440259954640394,17.974039541951782,23.20778064846267,2.6700722702233604,1.9110369507747265,9.129027706577878,3.7397801680295943,1.5495470825769444,-55.923008445432075
SSP2-4.5,2031-2050,1.1,0.6,1.6,1.1,0.6,1.6,0.1433415400058404,18.073929725363374,23.307604842617753,2.4478176799375886,1.6806795962553354,9.318894195380707,3.7397801680295943,1.5495470825769444,-59.59194048455266
SSP2-4.5,2051-2070,1.6,1.0,2.3,1.6,1.0,2.2,0.0,18.573380642421316,23.806725813393147,1.5495470825769444,0.7721180492247834,10.313561385372953,2.6700722702233604,0.7213198427978926,-74.42040261088668
SSP5-8.5,2031-2050,1.4,0.9,2.0,1.4,0.8,2.0,0.0,18.373600275598136,23.607077425082988,1.870254541548432,1.0879763406992478,9.890483645010253,2.8790065108701293,1.0324408614359661,-69.1262313188899
SSP5-8.5,2051-2070,2.4,1.6,3.3,2.4,1.6,3.2,0.0,19.37250210971402,24.605319366633772,0.6458019255873466,0.009997113242045903,11.903140915708843,1.5495470825769444,0.09039677093991383,-89.33923761634513
